Date,State,City,Amount,Profit,Quantity,Category,Sub-Category,Region,Month,Year
2018-01-04,Gujarat,Ahmedabad,1275.0,-1148.0,7,Furniture,Bookcases,West,January,2018
2018-01-04,Gujarat,Ahmedabad,66.0,-12.0,5,Clothing,Stole,West,January,2018
2018-01-04,Gujarat,Ahmedabad,8.0,-2.0,3,Clothing,Hankerchief,West,January,2018
2018-01-04,Gujarat,Ahmedabad,80.0,-56.0,4,Electronics,Electronic Games,West,January,2018
2018-01-04,Maharashtra,Pune,168.0,-111.0,2,Electronics,Phones,West,January,2018
2018-01-04,Maharashtra,Pune,424.0,-272.0,5,Electronics,Phones,West,January,2018
2018-01-04,Maharashtra,Pune,2617.0,1151.0,4,Electronics,Phones,West,January,2018
2018-01-04,Maharashtra,Pune,561.0,212.0,3,Clothing,Saree,West,January,2018
2018-01-04,Maharashtra,Pune,119.0,-5.0,8,Clothing,Saree,West,January,2018
2018-03-04,Madhya Pradesh,Bhopal,1355.0,-60.0,5,Clothing,Trousers,Central,March,2018
2018-03-04,Madhya Pradesh,Bhopal,24.0,-30.0,1,Furniture,Chairs,Central,March,2018
2018-03-04,Madhya Pradesh,Bhopal,193.0,-166.0,3,Clothing,Saree,Central,March,2018
2018-03-04,Madhya Pradesh,Bhopal,180.0,5.0,3,Clothing,Trousers,Central,March,2018
2018-03-04,Madhya Pradesh,Bhopal,116.0,16.0,4,Clothing,Stole,Central,March,2018
2018-03-04,Madhya Pradesh,Bhopal,107.0,36.0,6,Clothing,Stole,Central,March,2018
2018-03-04,Madhya Pradesh,Bhopal,12.0,1.0,2,Clothing,Hankerchief,Central,March,2018
2018-03-04,Madhya Pradesh,Bhopal,38.0,18.0,1,Clothing,Kurti,Central,March,2018
2018-03-04,Rajasthan,Jaipur,65.0,17.0,2,Clothing,T-shirt,West,March,2018
2018-03-04,Rajasthan,Jaipur,157.0,5.0,9,Clothing,Saree,West,March,2018
2018-05-04,West Bengal,Kolkata,75.0,0.0,7,Clothing,Saree,East,May,2018
2018-06-04,Karnataka,Bangalore,87.0,4.0,2,Clothing,Shirt,South,June,2018
2018-06-04,Jammu and Kashmir,Kashmir,50.0,15.0,4,Clothing,Leggings,North,June,2018
2018-08-04,Tamil Nadu,Chennai,1364.0,-1864.0,5,Furniture,Tables,South,August,2018
2018-08-04,Tamil Nadu,Chennai,476.0,0.0,3,Furniture,Chairs,South,August,2018
2018-08-04,Tamil Nadu,Chennai,257.0,23.0,5,Clothing,Hankerchief,South,August,2018
2018-08-04,Tamil Nadu,Chennai,856.0,385.0,6,Electronics,Printers,South,August,2018
2018-09-04,Uttar Pradesh,Lucknow,485.0,29.0,4,Electronics,Electronic Games,North,September,2018
2018-09-04,Uttar Pradesh,Lucknow,25.0,-5.0,4,Clothing,Saree,North,September,2018
2018-09-04,Bihar,Patna,1076.0,-38.0,4,Electronics,Printers,East,September,2018
